OBJECTID,BoroCD,Shape__Area,Shape__Length
1,410,172077374.884395,105822.37732883
2,480,32777561.4230604,47338.7400674069
3,104,49310051.8107197,67546.0453869481
4,107,53152583.2087812,39863.7032949406
5,317,93818430.2054343,43327.3549124118
6,413,350471327.310435,140570.297640904
7,483,191997998.918922,106865.598347784
8,226,50565041.6057839,32824.8379080439
9,313,88264690.3445144,65789.3560939037
10,202,61809181.0765977,48502.4383160747
11,205,38316983.5015717,29443.0472762026
12,403,83475496.9575572,41713.4817437637
13,404,65739609.5895844,37018.3842150333
14,105,43790039.7926782,35288.3342914144
15,411,260361287.571103,103435.411571052
16,106,38730043.0648193,42833.689324878
17,110,39073776.9726847,35890.2517383439
18,164,38312378.0993166,32721.0976416821
19,303,79461680.9298863,36213.6755935712
20,203,44797246.7626495,33499.6124607115
21,501,377232250.137692,153750.872928545
22,109,41894977.3027916,34959.0732908572
23,312,99524807.4081657,52244.0172880465
24,314,82174945.0721607,49296.7846368029
25,204,55522142.0976257,31358.4543265188
26,206,42664320.108017,35875.7105810964
27,227,31430884.2507343,28402.4949518583
28,207,53307894.1089325,44800.849254584
29,310,111344060.121408,44781.5735295994
30,102,37724014.7395688,35009.7166339002
31,401,171443322.780354,91025.4954375117
32,402,140010108.651472,72490.0373441425
33,108,55215029.4845812,53753.3539043177
34,209,114283983.774778,62243.2111498503
35,307,104126438.453287,87448.443148081
36,112,77963565.8570576,54703.6723605572
37,208,92076275.3215547,47810.4839435941
38,306,85501531.2094343,82147.9332787122
39,311,103208262.266045,51534.1486814067
40,315,131648744.169035,115425.633902794
41,355,26138866.4792958,23962.5207021825
42,406,82703180.506588,42767.6027171178
43,212,154906287.687942,84115.7964501644
44,308,45608392.3811947,38231.9523475011
45,309,45315681.4281087,29934.1450690852
46,228,92963983.2263188,122108.445146952
47,111,66160839.2772875,59541.7673801966
48,201,60399803.1788635,33341.87602476
49,316,51770690.6722052,32977.6978078834
50,407,328283929.662691,145357.352253093
51,481,47567353.3960003,53811.4158707063
52,595,54528719.7992235,109747.11419675
53,482,24256979.6361405,31981.5952934399
54,414,195575764.232387,210910.19188256
55,484,120185011.52948,227190.383588455
56,210,179019856.199239,268202.846436401
57,211,100314479.195113,45751.5386941155
58,318,235671802.20024,186791.89440715
59,356,130170227.825479,255181.326744961
60,502,591512722.524554,142726.041716515
61,503,600345837.051682,188991.412768361
62,301,131695538.072567,69237.8863417239
63,408,207556234.310461,70108.4497982207
64,412,267334173.268639,65920.1773597997
65,305,155487453.625883,65091.6968289988
66,409,107378544.181361,50771.8331245282
67,302,79320072.9042349,73413.3391789195
68,304,56662992.8242779,37006.832521889
69,405,210394900.10243,70020.3819422323
70,101,41693728.1520058,69090.9131484969
71,103,46878836.5152993,30505.7004173952
